competitor,type,keyword,position,previous_position,delta,rating,reviews,previous_reviews
La Fée Dymotite,gbp,cours de couture castres,1,1,0,5,23,23
Déco Couture,gbp,cours de couture castres,2,3,1,4.9,20,20
Mercerie Floriane,gbp,cours de couture castres,6,6,0,4.7,158,158
L'Atelier des Cousettes,gbp,cours de couture castres,7,9,2,5,6,6
Créa'Isi,gbp,cours de couture revel,1,1,0,5,31,31
Atelier Artéli,gbp,cours de couture revel,7,6,-1,5,6,5
L'Atelier des Cousettes,gbp,cours de couture revel,9,8,-1,5,6,6
atelierdecouture.fr,organic,cours de couture revel,21,22,1,,,
atelierdecouture.fr,organic,cours de couture castres,,,0,,,
