keyword,page,position,previous_position,delta,clicks,impressions,ctr,search_volume,status
cousette,https://couture-tarn.fr/,5.9,,,0,105,0.0%,6600,new
couturiere revel,https://couture-tarn.fr/,8.3,,,0,43,0.0%,0,new
atelier couture,https://couture-tarn.fr/,13.0,,,0,28,0.0%,,new
couturiere castres,https://couture-tarn.fr/,3.3,,,0,26,0.0%,390,new
cours de couture autour de moi,https://couture-tarn.fr/,9.2,,,1,24,4.2%,,new
couture,https://couture-tarn.fr/,12.5,,,0,22,0.0%,,new
poser une fermeture éclair sur une trousse,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,8.1,,,0,21,0.0%,,new
atelier de couture,https://couture-tarn.fr/,12.1,,,0,19,0.0%,3600,new
trousse fermeture éclair 20 cm,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,8.9,,,0,17,0.0%,,new
couturière revel,https://couture-tarn.fr/,10.4,,,0,12,0.0%,0,new
cours de couture,https://couture-tarn.fr/,10.2,,,0,10,0.0%,2900,new
couturière indépendante,https://couture-tarn.fr/,8.1,,,0,7,0.0%,,new
trousse fermeture éclair,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,9.8,,,0,6,0.0%,,new
studio de couture,https://couture-tarn.fr/,7.6,,,0,5,0.0%,,new
stage couture,https://couture-tarn.fr/,11.3,,,0,3,0.0%,,new
cours de couture castres,,,,,0,0,,20,new
cours de couture revel,https://couture-tarn.fr/,1.0,,,,,,0,new
cours de couture tarn,,,,,0,0,,10,new
